title,text,source,label,category,clean_text,input_hash
BOMBSHELL: Electric Vehicles Programmed with Secret Remote Overrides to Lock Drivers Inside!,"Terrifying news for all vehicle owners! Whistleblower code audits have exposed that global automakers installed secret military backdoors into every electric car computer! With a single remote keystroke from foreign headquarters, rogue operators can override the steering wheel, lock all door latches, and remotely steer vehicles off bridges into rivers! Don't buy their green trap! Share this vital alert before government censors pull the plug!",MotoristTruthAlert / Disinformation Wire,0,technology_hoax,"terrifying news for all vehicle owners! whistleblower code audits have exposed that global automakers installed secret military backdoors into every electric car computer! with a single remote keystroke from foreign headquarters, rogue operators can override the steering wheel, lock all door latches, and remotely steer vehicles off bridges into rivers! don't buy their green trap! share this vital alert before government censors pull the plug!",46d33dde63bd3bccda9077c2f8ea4e209cd641b1056c74d5a8d816a2052792d3
PROOF: Rubbing Sliced Lemons on Your Car Engine Cuts Gasoline Consumption by 95%!,Greedy oil cartels are losing their minds over this viral DIY secret! Mechanics are astounded after independent testing confirmed that placing three fresh lemon slices over the engine intake manifold supercharges atmospheric ionization and gives you 400 miles per gallon on normal fuel! Oil lobbyists are suing to ban citrus exports to protect their billions! Watch this quick instructional video before it gets deleted!,FuelHackMiracle / Viral Clickbait,0,scam,greedy oil cartels are losing their minds over this viral diy secret! mechanics are astounded after independent testing confirmed that placing three fresh lemon slices over the engine intake manifold supercharges atmospheric ionization and gives you 400 miles per gallon on normal fuel! oil lobbyists are suing to ban citrus exports to protect their billions! watch this quick instructional video before it gets deleted!,0a7e7ae5ce2744cf915fa8d92f540864c6e06bfe05bb6c84df77fb16b8af6b95
MASSIVE FRAUD UNCOVERED: Millions of Pre-Printed Fake Ballots Found in Abandoned Warehouse!,BREAKING EXPLOSIVE REPORT! Patriotic citizens raided an unmarked shipping warehouse and discovered pallets loaded with millions of pre-marked counterfeit ballots imported from overseas! Election officials caught on hidden camera admitted they were instructed to swap the legitimate ballots under cover of darkness! Local police refused to intervene because the mayor is in on the conspiracy! This is absolute treason and the biggest election theft in world history!,ElectionAlertWire / Hyperpartisan Blog,0,politics_fake,breaking explosive report! patriotic citizens raided an unmarked shipping warehouse and discovered pallets loaded with millions of pre-marked counterfeit ballots imported from overseas! election officials caught on hidden camera admitted they were instructed to swap the legitimate ballots under cover of darkness! local police refused to intervene because the mayor is in on the conspiracy! this is absolute treason and the biggest election theft in world history!,6201f5a8bc4e16e03184ffbf876a14d48eed335ca9a9e94491a108c0a1b302bc
International Energy Agency Projects Renewable Generation to Surpass Coal by 2025,"Global renewable electricity generation capacity is expanding rapidly, with solar photovoltaics and wind installations driving an unprecedented shift in energy infrastructure, according to the International Energy Agency's annual market report. The agency projects that renewable sources will account for over 35% of global power generation within the next eighteen months, overtaking traditional coal-fired facilities. Executive Director Fatih Birol stated that government incentives, falling equipment costs, and energy security initiatives have accelerated deployment worldwide. The report also highlights lingering supply chain bottlenecks and grid interconnection delays in developing economies.",IEA / Bloomberg Energy,1,environment,"global renewable electricity generation capacity is expanding rapidly, with solar photovoltaics and wind installations driving an unprecedented shift in energy infrastructure, according to the international energy agency's annual market report. the agency projects that renewable sources will account for over 35 of global power generation within the next eighteen months, overtaking traditional coal-fired facilities. executive director fatih birol stated that government incentives, falling equipment costs, and energy security initiatives have accelerated deployment worldwide. the report also highlights lingering supply chain bottlenecks and grid interconnection delays in developing economies.",a07a3286a8d00cb092f9ae86eaef08edb204f853356ad0a67542f4162ffacb3e
UN Voted in Secret Session to Confiscate All Privately Owned Vehicles and Enact 15-Minute Prison Cities,"An anonymous military intelligence source has leaked official United Nations treaty documents proving that globalist tyrants have finalized plans to outlaw all gasoline and electric private automobiles by the end of next month! Under the guise of climate lockdowns, citizens will be forcibly relocated into barbed-wire perimeter zones where travel beyond your neighborhood will carry automatic felony charges! Corrupt politicians have already ratified the secret treaty behind closed doors! Spread this urgent truth across all networks before freedom is abolished!",FreedomTruthBomb / Disinformation Blog,0,conspiracy,"an anonymous military intelligence source has leaked official united nations treaty documents proving that globalist tyrants have finalized plans to outlaw all gasoline and electric private automobiles by the end of next month! under the guise of climate lockdowns, citizens will be forcibly relocated into barbed-wire perimeter zones where travel beyond your neighborhood will carry automatic felony charges! corrupt politicians have already ratified the secret treaty behind closed doors! spread this urgent truth across all networks before freedom is abolished!",45423ef7b70938fb1cef791badd86633d2e07747b392cb20202331e32c07f7f2
"Department of Labor Reports 216,000 Jobs Added as Unemployment Holds at 3.7%","Total nonfarm payroll employment rose by 216,000 in December, while the national unemployment rate held steady at 3.7%, the U.S. Bureau of Labor Statistics reported Friday. Job gains occurred primarily in government agencies, healthcare facilities, social assistance programs, and construction sectors. Average hourly earnings for all employees on private nonfarm payrolls rose by 15 cents, or 0.4%, reaching an annualized growth rate of 4.1%. Economists noted that labor force participation showed slight moderation among prime-age workers.",Bureau of Labor Statistics / Financial Times,1,economy,"total nonfarm payroll employment rose by 216,000 in december, while the national unemployment rate held steady at 3.7 , the u.s. bureau of labor statistics reported friday. job gains occurred primarily in government agencies, healthcare facilities, social assistance programs, and construction sectors. average hourly earnings for all employees on private nonfarm payrolls rose by 15 cents, or 0.4 , reaching an annualized growth rate of 4.1 . economists noted that labor force participation showed slight moderation among prime-age workers.",62af0b130624276c1a40021e1e697aa36a8899005c2aff8f95d6a251ee0f2896
Japan Aerospace Exploration Agency Confirms Precision Lunar Landing of SLIM Probe,The Japan Aerospace Exploration Agency confirmed that its Smart Lander for Investigating Moon (SLIM) achieved a precision pinpoint touchdown within 55 meters of its target coordinates on the lunar crater Shioli. Mission telemetry analyzed by flight dynamics teams confirmed that multi-spectral camera observations of olivine-rich rocks were successfully transmitted back to the Sagamihara ground station. Scientists anticipate the geological data will refine models of lunar mantle composition.,JAXA / Scientific Press,1,space,the japan aerospace exploration agency confirmed that its smart lander for investigating moon slim achieved a precision pinpoint touchdown within 55 meters of its target coordinates on the lunar crater shioli. mission telemetry analyzed by flight dynamics teams confirmed that multi-spectral camera observations of olivine-rich rocks were successfully transmitted back to the sagamihara ground station. scientists anticipate the geological data will refine models of lunar mantle composition.,a429680bdc23cd1ec08c9dd1a0a981a6b11107ab85e31db2ebd7c7a4e520baf2
Federal Aviation Administration Mandates Enhanced Inspection Protocols for Commercial Airliners,The Federal Aviation Administration issued an airworthiness directive requiring comprehensive ultrasonic inspections of door plug assemblies and fuselage mounting brackets across domestic passenger aircraft. The safety directive follows a preliminary investigation by the National Transportation Safety Board into an in-flight depressurization event last month. Airlines must complete inspections within 30 days and submit compliance data to the agency's safety management database before returning affected aircraft to scheduled passenger service.,FAA / Wall Street Journal,1,aviation,the federal aviation administration issued an airworthiness directive requiring comprehensive ultrasonic inspections of door plug assemblies and fuselage mounting brackets across domestic passenger aircraft. the safety directive follows a preliminary investigation by the national transportation safety board into an in-flight depressurization event last month. airlines must complete inspections within 30 days and submit compliance data to the agency's safety management database before returning affected aircraft to scheduled passenger service.,46c208dd495daa6598e2a2f6c54419182d5c8df83ada32abe4cb12295d491c59
Supreme Court Hears Oral Arguments on Environmental Protection Agency Regulatory Authority,"The Supreme Court heard oral arguments Tuesday in a dispute concerning the scope of federal regulatory authority under the Clean Water Act. Petitioners argued that the Environmental Protection Agency exceeded statutory limits by designating adjacent wetlands under federal oversight without direct continuous surface connections. In response, government counsel maintained that scientific hydrologic connectivity is necessary to preserve downstream water quality across interstate boundaries. Legal observers noted focused questioning from justices across the ideological spectrum regarding legislative intent and Chevron deference precedents. A decision is expected before the court concludes its current term in June.",Associated Press / Legal Journal,1,politics,"the supreme court heard oral arguments tuesday in a dispute concerning the scope of federal regulatory authority under the clean water act. petitioners argued that the environmental protection agency exceeded statutory limits by designating adjacent wetlands under federal oversight without direct continuous surface connections. in response, government counsel maintained that scientific hydrologic connectivity is necessary to preserve downstream water quality across interstate boundaries. legal observers noted focused questioning from justices across the ideological spectrum regarding legislative intent and chevron deference precedents. a decision is expected before the court concludes its current term in june.",6a9beb919589b7ef809f5602a0920f62f75e37bc1df53c2ca5456a1b993d41e4
BOMBSHELL: Secret Globalist Cabal Caught Poisoning Municipal Water with Mind-Control Nanochips!,SHOCKING EXPOSED PROOF! Whistleblowers have finally leaked classified military documents proving that deep state elites and global billionaires are secretly installing 5G liquid nanotechnology into city water supplies across the nation! They want you sick and compliant! Doctors who tried to expose the horrifying truth have been mysteriously silenced and banned from social media! Look at what they are hiding from you! Wake up before it is too late! Share this breaking alert with everyone before the government blocks this page! It has been 100% proven that every major tap water source contains microscopic robotic transmitters activated by cell phone towers!,ConspiracyEcho / Anonymous Forum,0,conspiracy,shocking exposed proof! whistleblowers have finally leaked classified military documents proving that deep state elites and global billionaires are secretly installing 5g liquid nanotechnology into city water supplies across the nation! they want you sick and compliant! doctors who tried to expose the horrifying truth have been mysteriously silenced and banned from social media! look at what they are hiding from you! wake up before it is too late! share this breaking alert with everyone before the government blocks this page! it has been 100 proven that every major tap water source contains microscopic robotic transmitters activated by cell phone towers!,e7468b6be5b0c437236832c9263c355eb794a0c3f5cbf4671e4e0384cfe154c9
